,postID,postTitle,postTime,Author,IP,Link,PushCount,BooCount,ArrorCount
0,1T69-mek,[臉書] 立法委員 黃國昌,Sun Jun 30 19:40:29 2019,thnlkj0665 (灰色地帶),118.150.84.5,https://www.ptt.cc/bbs/Gossiping/M.1561894832.A.A2E.html,269,12,66
1,1T6AIBxz,[問卦] 激動的韓粉攻擊我YT頻道 該如何是好,Sun Jun 30 20:01:00 2019,david5192003 (321),123.110.158.215,https://www.ptt.cc/bbs/Gossiping/M.1561896075.A.EFD.html,180,6,68
2,1T6AJUHU,[問卦] 有沒有大社的八卦？,Sun Jun 30 20:02:23 2019,reexamor (沖繩女婿),42.72.214.16,https://www.ptt.cc/bbs/Gossiping/M.1561896158.A.45E.html,200,2,20
3,1T6AXu2Q,[新聞] 史明：我快走了，以後靠大家打拼,Sun Jun 30 20:17:57 2019,asdwsxzc (喵喵),223.139.170.113,https://www.ptt.cc/bbs/Gossiping/M.1561897080.A.09A.html,1008,58,228
4,1T6AliEV,[新聞] 網友酸要太多 長榮空服回嗆:你們在機上什,Sun Jun 30 20:32:42 2019,haha98 (口合口合九十八),1.161.11.25,https://www.ptt.cc/bbs/Gossiping/M.1561897964.A.39F.html,1040,442,1157
5,1T6CH37O,Re: [新聞] 網友酸要太多 長榮空服回嗆:你們在機上什,Sun Jun 30 22:16:33 2019,reigon1126 (原來是擅長發廢文的朋友),1.161.215.170,https://www.ptt.cc/bbs/Gossiping/M.1561904195.A.1D8.html,184,21,114
6,1T6CbKtH,Re: [新聞] 實價登錄2.0打假？徐永明嗆民進黨：喬選,Sun Jun 30 22:38:08 2019,fytnship (<(￣︶￣),123.204.206.244,https://www.ptt.cc/bbs/Gossiping/M.1561905492.A.DD1.html,152,10,63
7,1T6CjtMB,[新聞] 長榮空服員罷飛爭議 18金釵7/1開記者會說,Sun Jun 30 22:47:16 2019,"zebirlin (ほろ  酔
い)",36.239.141.121,https://www.ptt.cc/bbs/Gossiping/M.1561906039.A.58B.html,239,69,269
8,1T6CplAF,[爆卦] 高雄出現坑了...,Sun Jun 30 22:53:33 2019,simonle (.0.),42.77.211.219,https://www.ptt.cc/bbs/Gossiping/M.1561906415.A.28F.html,208,27,82
9,1T6ENsLJ,[公告] 即日起，臉書分類宣告走入歷史。,Mon Jul  1 00:40:20 2019,Bignana (孤鴻寄語默蒼離),118.171.136.41,https://www.ptt.cc/bbs/Gossiping/M.1561912822.A.553.html,602,44,313
10,1T6IVrF_,[新聞] 高市路平再破功 剛鋪3個月馬路出現大破洞,Mon Jul  1 05:21:54 2019,Workforme (′‧ω‧‵),114.37.134.230,https://www.ptt.cc/bbs/Gossiping/M.1561929717.A.3FF.html,150,15,106
11,1T6KIF-Z,Re: [新聞] 網友酸要太多 長榮空服回嗆:你們在機上什,Mon Jul  1 07:23:57 2019,TAKANA (兒子、妻子*好夢),172.58.6.192,https://www.ptt.cc/bbs/Gossiping/M.1561937039.A.FA3.html,284,20,166
12,1T6LJWKw,[爆卦] 香港71抗爭速報,Mon Jul  1 08:33:32 2019,asity (),115.82.3.217,https://www.ptt.cc/bbs/Gossiping/M.1561941216.A.53A.html,252,3,47
13,1T6MiTTB,[新聞] 與兒導師偷情被夫抓包　董娘自曝1年嘿咻,Mon Jul  1 10:08:27 2019,FourOneJ (41j),42.73.86.214,https://www.ptt.cc/bbs/Gossiping/M.1561946909.A.74B.html,114,2,36
14,1T6MtwHS,[新聞] 韓國瑜支持度30％險勝郭台銘29％ 綠營選,Mon Jul  1 10:20:40 2019,akway (生活就是要快樂),114.42.159.199,https://www.ptt.cc/bbs/Gossiping/M.1561947642.A.45C.html,132,14,63
15,1T6N4GQw,[新聞] 蘇貞昌：5000萬防治經費早核准 高雄至今,Mon Jul  1 10:33:50 2019,hyscout (廠廠),61.220.141.211,https://www.ptt.cc/bbs/Gossiping/M.1561948432.A.6BA.html,324,80,240
16,1T6NtAiK,[新聞] 空服員「應援之夜」 7/2晚間凱道登場見,Mon Jul  1 11:28:06 2019,notepad67 (甄姬拔劍),60.250.48.112,https://www.ptt.cc/bbs/Gossiping/M.1561951690.A.B14.html,164,50,145
17,1T6NvufW,[新聞] 民調／蔡英文聲勢上漲 三腳督藍綠對決都,Mon Jul  1 11:31:01 2019,Aqqqa (Aqqqa),163.25.94.210,https://www.ptt.cc/bbs/Gossiping/M.1561951864.A.A60.html,161,31,62
18,1T6O35lN,[問卦] 長榮罷工 請董事長敬啟,Mon Jul  1 11:40:51 2019,milukuti (紅茶拿鐵),42.73.114.235,https://www.ptt.cc/bbs/Gossiping/M.1561952453.A.BD7.html,229,25,117
19,1T6O3ZR4,[新聞] 長榮罷工／兒偷拍空服被抓包　爸惱怒嗆罷,Mon Jul  1 11:41:20 2019,pinkgogo (coco),180.204.193.211,https://www.ptt.cc/bbs/Gossiping/M.1561952483.A.6C4.html,199,65,161
20,1T6ODUI3,[新聞] 民眾穿「檳榔裝」諷綠轉紅 柯文哲：多吃,Mon Jul  1 11:51:55 2019,batt0909 (小魚),118.150.251.53,https://www.ptt.cc/bbs/Gossiping/M.1561953118.A.483.html,248,41,114
21,1T6O-QKW,[新聞] 慘了！膿瘍誤認是癌症 名醫切掉病人陰莖,Mon Jul  1 12:44:07 2019,kingtama (立志成為唬爛王),60.251.130.135,https://www.ptt.cc/bbs/Gossiping/M.1561956250.A.520.html,179,11,73
22,1T6PR9A_,[新聞] 蘇貞昌批韓國瑜趴趴走又亂放話:登革熱500,Mon Jul  1 13:14:47 2019,richshen (哇哈哈),27.147.20.216,https://www.ptt.cc/bbs/Gossiping/M.1561958089.A.2BF.html,137,28,79
23,1T6PhvH7,[爆卦] 香港人嘗試衝入立法樓,Mon Jul  1 13:32:39 2019,open123 (顆顆開),220.130.200.194,https://www.ptt.cc/bbs/Gossiping/M.1561959161.A.447.html,134,4,57
24,1T6Q7HjN,[爆卦] 香港人試圖進入立法會 輕型衝撞車出現,Mon Jul  1 14:01:51 2019,flower42 (栗悟飯與龜波功),111.82.48.154,https://www.ptt.cc/bbs/Gossiping/M.1561960913.A.B57.html,276,25,165
25,1T6Qks2Y,[爆卦] 長榮反擊工會記者會直播,Mon Jul  1 14:44:04 2019,poseysugar (葵),123.192.157.40,https://www.ptt.cc/bbs/Gossiping/M.1561963446.A.0A2.html,223,9,233
26,1T6R6nfv,[新聞] 90歲榮民堅持娶50歲陸配 他生前想離婚不,Mon Jul  1 15:09:31 2019,orionbeer (沖繩啤酒),180.217.107.145,https://www.ptt.cc/bbs/Gossiping/M.1561964977.A.A79.html,194,27,110
27,1T6RV4LM,[新聞] 批實價登錄2.0髮夾彎 民團：證明建商才是,Mon Jul  1 15:35:29 2019,yfme (台螢),114.40.253.224,https://www.ptt.cc/bbs/Gossiping/M.1561966532.A.556.html,534,81,375
28,1T6RmQjr,[爆卦] 韓粉佔領銅鑼灣？,Mon Jul  1 15:54:00 2019,mabeedasan (麻比打桑),182.239.82.230,https://www.ptt.cc/bbs/Gossiping/M.1561967642.A.B75.html,161,14,112
29,1T6Rr-7f,Re: [新聞] 實價登錄修法闖關 時力：民進黨背棄選前,Mon Jul  1 15:59:56 2019,satanhotdog (satanhotdog),101.13.225.161,https://www.ptt.cc/bbs/Gossiping/M.1561967998.A.1E9.html,241,11,50
30,1T6Rwc-M,[新聞] 花費22年時間 台灣終於成功撲滅從中國傳,Mon Jul  1 16:04:51 2019,bloodydevil (蒼神之月),42.74.132.14,https://www.ptt.cc/bbs/Gossiping/M.1561968294.A.F96.html,263,24,129
31,1T6Ry0vb,[新聞] 柯建銘轟「假道德麥卡錫主義」黃國昌反擊,Mon Jul  1 16:06:21 2019,aaaba (小強),1.200.33.240,https://www.ptt.cc/bbs/Gossiping/M.1561968384.A.E65.html,220,21,90
32,1T6S8Jim,[新聞] 梁家輝冒雨挺港警！粉絲心碎 怒折鍾鎮濤,Mon Jul  1 16:19:26 2019,pooznn (我~~~是來被打臉滴!!!),1.160.78.5,https://www.ptt.cc/bbs/Gossiping/M.1561969171.A.B30.html,352,80,278
33,1T6SgR2o,Re: [新聞] 批實價登錄2.0髮夾彎 民團：證明建商才是,Mon Jul  1 16:55:53 2019,zzahoward (Cheshire Cat),59.124.117.163,https://www.ptt.cc/bbs/Gossiping/M.1561971355.A.0B2.html,432,39,126
34,1T6SnkMb,[問卦] 館長爬象山 怎麼會被快70歲的電爆？,Mon Jul  1 17:03:40 2019,IDEX ( ),223.136.14.197,https://www.ptt.cc/bbs/Gossiping/M.1561971822.A.5A5.html,347,61,370
35,1T6SpLQ5,Re: [問卦] 柯粉怎麼了？,Mon Jul  1 17:05:23 2019,nelsonxx (阿沙布魯),59.120.137.98,https://www.ptt.cc/bbs/Gossiping/M.1561971925.A.685.html,310,144,274
36,1T6S_6eN,[新聞] 柯嗆「假道學、麥卡錫主義 黃國昌：關說,Mon Jul  1 17:17:56 2019,spidina (),36.237.20.22,https://www.ptt.cc/bbs/Gossiping/M.1561972678.A.A17.html,373,57,137
37,1T6T6TUI,[爆卦] 香港立法會的門被撞破啦,Mon Jul  1 17:25:47 2019,ccps970915 (冠),27.246.232.115,https://www.ptt.cc/bbs/Gossiping/M.1561973149.A.792.html,176,7,58
38,1T6T8b-S,[問卦] 遇到伸手牌機掰同學怎麼回？急,Mon Jul  1 17:28:03 2019,ray9592197 (雞排要切不要香菜),110.26.73.22,https://www.ptt.cc/bbs/Gossiping/M.1561973285.A.F9C.html,241,30,165
39,1T6TUnKH,[爆卦] 韓導市府下架天坑路段3月宣傳路平的新聞!,Mon Jul  1 17:51:41 2019,soyud12 (挖),101.136.192.123,https://www.ptt.cc/bbs/Gossiping/M.1561974705.A.511.html,259,34,81
40,1T6TdmmM,Fw: [倒了] 還願中國發行商Indievent被勒令停業,Mon Jul  1 18:01:19 2019,lovejiyeon (吾名惠惠!!),60.250.70.103,https://www.ptt.cc/bbs/Gossiping/M.1561975280.A.C16.html,259,19,122
41,1T6TpB0Z,[新聞] 金門孔雀為患 一隻六百收不完,Mon Jul  1 18:13:27 2019,SureFire (神火),42.72.92.143,https://www.ptt.cc/bbs/Gossiping/M.1561976011.A.023.html,129,5,48
42,1T6T-GeY,[問卦] 農地蓋工廠、實價登錄0.5是不是很讚？,Mon Jul  1 18:25:18 2019,shutout5566 (5566給我閉嘴!!打個電話 ),39.13.64.204,https://www.ptt.cc/bbs/Gossiping/M.1561976720.A.A22.html,331,31,150
43,1T6U4KtB,[新聞] 影后葉德嫻穿黑衣上街反送中,Mon Jul  1 18:31:46 2019,rook18ies (天天一天),1.160.192.202,https://www.ptt.cc/bbs/Gossiping/M.1561977108.A.DCB.html,453,5,95
44,1T6UvOhJ,[新聞] 驚呆！郭董說「國家養」 朱立倫：我聽成,Mon Jul  1 19:28:21 2019,lovelypag (嗯.............),27.247.33.225,https://www.ptt.cc/bbs/Gossiping/M.1561980504.A.AD3.html,306,17,79
45,1T6VEWci,[問卦] 敢有台語台開播的八卦?,Mon Jul  1 19:50:54 2019,sheisonmybed (她在我床上有她),220.143.13.56,https://www.ptt.cc/bbs/Gossiping/M.1561981856.A.9AC.html,213,3,53
46,1T6Vcl-u,[問卦] 鄉民們當年考大學有什麼故事呢？,Mon Jul  1 20:16:42 2019,ddd1264 (豆花伯),27.247.32.32,https://www.ptt.cc/bbs/Gossiping/M.1561983407.A.FB8.html,140,4,82
47,1T6VzxrP,[新聞] 父驟逝 遺囑大三子「照顧病母及憨弟」,Mon Jul  1 20:41:27 2019,iXXXXGAY5566 (我非四叉貓 有恩怨請找牠),123.194.139.202,https://www.ptt.cc/bbs/Gossiping/M.1561984891.A.D59.html,423,2,43
48,1T6W7FWB,[新聞] 柯嗆「假道學、麥卡錫主義」黃國昌：關說,Mon Jul  1 20:51:23 2019,gasara (賭盤開了 收錢 ^O^/),114.44.175.184,https://www.ptt.cc/bbs/Gossiping/M.1561985487.A.80B.html,144,13,55
49,1T6WGdKJ,[爆卦] 香港人衝進立法會了！！！,Mon Jul  1 21:01:17 2019,brian900530 (LmWAng9),220.141.120.204,https://www.ptt.cc/bbs/Gossiping/M.1561986087.A.513.html,721,23,327
50,1T6WvWbb,[爆卦] 香港人塗黑特區標誌了,Mon Jul  1 21:45:01 2019,sven1130 (綠色貍貓),140.112.235.63,https://www.ptt.cc/bbs/Gossiping/M.1561988704.A.965.html,215,5,164
51,1T6Wyto4,[爆卦] 正式佔領立法會,Mon Jul  1 21:48:34 2019,f12345678900 (旅行的意義),59.115.50.144,https://www.ptt.cc/bbs/Gossiping/M.1561988919.A.C84.html,507,12,186
52,1T6XHiBg,Re: [爆卦] 正式佔領立法會,Mon Jul  1 22:10:49 2019,Yolosnow (生活很無聊),42.77.122.130,https://www.ptt.cc/bbs/Gossiping/M.1561990252.A.2EA.html,165,9,72
53,1T6XdFCP,[爆卦] 香港警方即將清場立法會,Mon Jul  1 22:33:49 2019,lgng66133 (Mad Fer It！),203.163.205.230,https://www.ptt.cc/bbs/Gossiping/M.1561991631.A.319.html,365,13,143
54,1T6Xj313,[問卦] 能幫小魏加油嗎？（發錢）,Mon Jul  1 22:40:01 2019,rex8886 (re叉),140.112.253.250,https://www.ptt.cc/bbs/Gossiping/M.1561992003.A.043.html,318,19,58
55,1T6XxEUA,[爆卦] 香港警方宣布短時間內清場,Mon Jul  1 22:55:06 2019,aotfs2013 (小隻釋迦),1.163.61.85,https://www.ptt.cc/bbs/Gossiping/M.1561992910.A.78A.html,226,18,130
56,1T6YQup3,[爆卦] 香港立院最新情況 只有4名死士留守,Mon Jul  1 23:28:54 2019,lgng66133 (Mad Fer It！),203.163.205.230,https://www.ptt.cc/bbs/Gossiping/M.1561994936.A.CC3.html,285,12,190
57,1T6YcBcb,[新聞] 美眾議員提案：情治機構阻止中國干預台,Mon Jul  1 23:40:57 2019,ruby00514 (黑夜的星空),101.15.224.217,https://www.ptt.cc/bbs/Gossiping/M.1561995659.A.9A5.html,185,10,76
58,1T6Z2XKU,[爆卦] 發錢！最新蘋果民調 韓國瑜大勝郭台銘,Tue Jul  2 00:11:11 2019,lol54321 (保鑣),114.136.253.214,https://www.ptt.cc/bbs/Gossiping/M.1561997473.A.51E.html,207,26,62
59,1T6cM9Th,[爆卦] 凌晨四點 林鄭見記者,Tue Jul  2 03:56:55 2019,MacWeaDon (邁衛燈),64.1.31.9,https://www.ptt.cc/bbs/Gossiping/M.1562011017.A.76B.html,133,2,139
60,1T6dFKcm,[問卦] 香港人看不懂台灣的9.2在想甚麼,Tue Jul  2 04:57:54 2019,bfbf510a (超世紀智將),14.199.203.75,https://www.ptt.cc/bbs/Gossiping/M.1562014676.A.9B0.html,541,80,980
61,1T6ddaLJ,[新聞] 援交初體驗 老司機拍肩譏：白癡喔！,Tue Jul  2 05:23:45 2019,Workforme (′‧ω‧‵),36.226.152.224,https://www.ptt.cc/bbs/Gossiping/M.1562016228.A.553.html,435,17,82
62,1T6e_MYx,[問卦] 登錄1000天是不是學長了啊,Tue Jul  2 06:57:24 2019,qq5771313 (L'尒ranger),59.127.7.181,https://www.ptt.cc/bbs/Gossiping/M.1562021846.A.8BB.html,258,98,41
63,1T6f5OZp,Re: [新聞] 實價登錄2.0變0.5？ 黃國昌轟民進黨：,Tue Jul  2 07:03:50 2019,blue155305 (勇者胖虎),180.177.114.177,https://www.ptt.cc/bbs/Gossiping/M.1562022232.A.8F3.html,378,39,202
64,1T6g4Iwk,[新聞] 忘愛人已逝 失智九旬翁尋妻,Tue Jul  2 08:10:56 2019,abramtw (世界原來是如此耀眼啊),220.129.30.132,https://www.ptt.cc/bbs/Gossiping/M.1562026258.A.EAE.html,200,1,53
65,1T6h04ed,[新聞] 捷克法院裁決 8名台籍詐欺嫌犯「送中」,Tue Jul  2 09:14:39 2019,becool996 (冷月紫米是過前高，但是1),39.8.126.168,https://www.ptt.cc/bbs/Gossiping/M.1562030084.A.A27.html,303,102,284
66,1T6hwoBS,[新聞] 公然罵三字經無罪　《博恩秀》為言論自,Tue Jul  2 10:17:20 2019,andy0219 (OuO),27.247.164.212,https://www.ptt.cc/bbs/Gossiping/M.1562033842.A.2DC.html,248,52,170
67,1T6iKBC2,[爆卦] 昨晚香港攻進立法會的一個掛,Tue Jul  2 10:44:25 2019,Yuki2316 (午夜狂歡),42.73.255.92,https://www.ptt.cc/bbs/Gossiping/M.1562035467.A.302.html,157,13,68
68,1T6iPrk9,Re: [問卦] 農地蓋工廠、實價登錄0.5是不是很讚？,Tue Jul  2 10:50:23 2019,bulden (要死的生魚片),104.32.187.152,https://www.ptt.cc/bbs/Gossiping/M.1562035829.A.B89.html,234,25,166
69,1T6iVDr2,[新聞] 替考上哈佛的林晉毅保留醫學系學籍 陽明,Tue Jul  2 10:56:11 2019,Aqqqa (Aqqqa),163.25.94.210,https://www.ptt.cc/bbs/Gossiping/M.1562036173.A.D42.html,186,16,142
70,1T6j0VnL,[新聞] 罷工空服員取回三寶服勤 工會：將由會員,Tue Jul  2 11:31:41 2019,paericsson (pa),61.216.26.1,https://www.ptt.cc/bbs/Gossiping/M.1562038303.A.C55.html,244,37,363
71,1T6j6T4v,[問卦] 慟！Vast&Hazy沒得獎我很難過(發錢),Tue Jul  2 11:38:03 2019,FlyinwindX (Flyinwind),1.160.4.17,https://www.ptt.cc/bbs/Gossiping/M.1562038685.A.139.html,139,4,29
72,1T6jQVAK,[新聞] 高雄KTV槍擊 10多名黑道持AR15突擊步槍,Tue Jul  2 11:59:25 2019,rick102233 (),123.0.231.84,https://www.ptt.cc/bbs/Gossiping/M.1562039967.A.294.html,171,21,79
73,1T6jYNrr,[爆卦] 香港佔領立法會 鏡頭看不見的事,Tue Jul  2 12:07:48 2019,fivz (Cass),223.19.184.161,https://www.ptt.cc/bbs/Gossiping/M.1562040471.A.D75.html,183,12,65
74,1T6jdLfX,[新聞] 傳民進黨曾徵詢林飛帆接副秘書長,Tue Jul  2 12:13:07 2019,qaz8031 (小良HRU),111.71.11.19,https://www.ptt.cc/bbs/Gossiping/M.1562040789.A.A61.html,251,81,216
75,1T6kBkNv,[爆卦] 市長換人 柳川美景回不去,Tue Jul  2 12:51:56 2019,mement788 (黃大頭111),180.204.136.32,https://www.ptt.cc/bbs/Gossiping/M.1562043118.A.5F9.html,155,27,103
76,1T6kHPTR,[爆卦] 舔共！郭台銘拿中共的錢超過中時  (發錢),Tue Jul  2 12:57:59 2019,pinkycandy (pinkycandy),223.137.116.65,https://www.ptt.cc/bbs/Gossiping/M.1562043481.A.75B.html,531,292,178
77,1T6lU1OE,[新聞] 退將赴中參與政治活動民進黨提案終身禁,Tue Jul  2 14:19:42 2019,Anddyliu (安滴滴),42.72.6.16,https://www.ptt.cc/bbs/Gossiping/M.1562048385.A.60E.html,203,13,104
78,1T6mTOE2,[新聞] 慘！黑人病患帶點滴散步 被指控偷竊醫療器材遭逮捕,Tue Jul  2 15:27:15 2019,rickey1270 (我大奈亞子毫無死角！！),180.204.141.36,https://www.ptt.cc/bbs/Gossiping/M.1562052440.A.382.html,417,36,165
79,1T6mTltI,[新聞] 美眾院情報委員會通過法案 防中國干預台,Tue Jul  2 15:27:39 2019,relax911 (Lmerro),123.194.189.94,https://www.ptt.cc/bbs/Gossiping/M.1562052463.A.DD2.html,193,16,197
80,1T6mhGDy,[爆卦] 最新民調2 韓國瑜35% 柯文哲26% 蔡英文22%,Tue Jul  2 15:42:03 2019,shared (shared),163.26.71.6,https://www.ptt.cc/bbs/Gossiping/M.1562053328.A.37C.html,231,32,138
81,1T6np5DA,Re: [新聞] 【獨家有照】抓包大巨蛋違法復工　柯市呸,Tue Jul  2 16:58:43 2019,Tsucomi69 (N9SU3XL3AJ4),101.11.33.219,https://www.ptt.cc/bbs/Gossiping/M.1562057925.A.34A.html,173,14,57
82,1T6o54K4,[新聞] 高雄大八飯店宣布停業 150多名員工訝異,Tue Jul  2 17:17:53 2019,kinple (( ￣ c￣),111.243.47.117,https://www.ptt.cc/bbs/Gossiping/M.1562059076.A.504.html,236,19,108
83,1T6oAMNp,Re: [問卦] 家裡陽臺聚集一團蜜蜂,Tue Jul  2 17:23:32 2019,pigcory (堯仔),101.9.204.122,https://www.ptt.cc/bbs/Gossiping/M.1562059414.A.5F3.html,144,4,14
84,1T6oceNL,Re: [新聞] 批行政院給錢態度差！韓國瑜：我像服務員,Tue Jul  2 17:53:42 2019,RandyXiao (RandyXiao),101.13.212.111,https://www.ptt.cc/bbs/Gossiping/M.1562061224.A.5D5.html,681,59,216
85,1T6p36-g,[新聞] 2020參戰 時代力量:不排除自提總統候選人,Tue Jul  2 18:24:03 2019,manpc (manpc),163.26.71.6,https://www.ptt.cc/bbs/Gossiping/M.1562063046.A.FAA.html,321,75,236
86,1T6p_nYh,[爆卦] 戴資穎/ Tai Tzu Ying FB,Tue Jul  2 19:28:46 2019,yesgogo (馬桶上的沉思者),114.40.65.80,https://www.ptt.cc/bbs/Gossiping/M.1562066929.A.8AB.html,245,11,42
87,1T6qP4ke,[新聞] 慘！台籍詐欺犯求別送中 「將與爸媽天人,Tue Jul  2 19:55:41 2019,go190214 (天空之島拉普達),123.192.154.107,https://www.ptt.cc/bbs/Gossiping/M.1562068548.A.BA8.html,215,37,123
88,1T6qPaPJ,[爆卦] 國民黨廣告無下限 抹黑造假文宣又來啦,Tue Jul  2 19:56:18 2019,nkit612004 (金山周杰倫),49.216.231.107,https://www.ptt.cc/bbs/Gossiping/M.1562068580.A.653.html,234,22,95
89,1T6qY1hX,Re: [新聞] 慘！台籍詐欺犯求別送中 「將與爸媽天人,Tue Jul  2 20:05:19 2019,"CREA (自由  滞
在　  断不柔優)",1.175.77.128,https://www.ptt.cc/bbs/Gossiping/M.1562069121.A.AE1.html,248,24,118
90,1T6qw-aS,Re: [爆卦] 祖墳被不明人士整座挖開,Tue Jul  2 20:31:55 2019,gmoz (  This can't do that. ),61.65.118.176,https://www.ptt.cc/bbs/Gossiping/M.1562070718.A.91C.html,177,4,54
91,1T6qzRdc,[新聞] 陸拳王下戰書 嗆館長：一回合還站著就算,Tue Jul  2 20:34:32 2019,linwahaha (),122.118.91.96,https://www.ptt.cc/bbs/Gossiping/M.1562070875.A.9E6.html,763,234,492
92,1T6r6fn8,[新聞] 快訊／長榮二次協商宣布破局！　工會罷,Tue Jul  2 20:44:23 2019,a90575 (CY),27.52.190.180,https://www.ptt.cc/bbs/Gossiping/M.1562071465.A.C48.html,405,41,375
93,1T6rrKIj,[問卦] 姓「樓」的朋友要生了,Tue Jul  2 21:34:10 2019,inmee (J),49.218.76.173,https://www.ptt.cc/bbs/Gossiping/M.1562074452.A.4AD.html,260,16,74
94,1T6sIeke,[爆卦] 民進黨團投票表明本屆不會過實價登錄2.0,Tue Jul  2 22:05:24 2019,ueewen (ueewen),49.216.0.215,https://www.ptt.cc/bbs/Gossiping/M.1562076328.A.BA8.html,301,39,121
